Parameter,Value
Start Frequency,10.0
End Frequency,100.0
Frequency Duration,1.0
Smooth Transition,True
Pause Duration,1.0
Amplitude,0.85
Frequency Step,10.0
Total Duration,10.0
Gradual Amplitude Increase,False
Amplitude Rise Time,0.5
Amplitude Start,0.1
Amplitude End,0.2
Sample Rate,96000

Sample Number,Timestamp,Sine value,Frequency (Hz)
112801,2025-04-09 15:28:23.233,0.7589,20.58
113281,2025-04-09 15:28:23.238,0.74067,20.62
113761,2025-04-09 15:28:23.243,0.06382,20.67
114241,2025-04-09 15:28:23.248,-0.67135,20.71
114721,2025-04-09 15:28:23.253,-0.80462,20.76
115201,2025-04-09 15:28:23.258,-0.21132,20.8
115681,2025-04-09 15:28:23.263,0.57497,20.85
116161,2025-04-09 15:28:23.268,0.83788,20.89
116641,2025-04-09 15:28:23.273,0.33248,20.94
117121,2025-04-09 15:28:23.278,-0.48048,20.98
117601,2025-04-09 15:28:23.283,-0.84947,21.03
118081,2025-04-09 15:28:23.288,-0.42755,21.07
118561,2025-04-09 15:28:23.293,0.39556,21.12
119041,2025-04-09 15:28:23.298,0.84775,21.16
119521,2025-04-09 15:28:23.303,0.49858,21.21
120001,2025-04-09 15:28:23.308,-0.32535,21.25
120481,2025-04-09 15:28:23.313,-0.83973,21.3
120961,2025-04-09 15:28:23.318,-0.54831,21.34
121441,2025-04-09 15:28:23.323,0.273,21.39
121921,2025-04-09 15:28:23.328,0.83081,21.43
122401,2025-04-09 15:28:23.333,0.57937,21.48
122881,2025-04-09 15:28:23.338,-0.2403,21.52
123361,2025-04-09 15:28:23.343,-0.82466,21.57
123841,2025-04-09 15:28:23.348,-0.59376,21.61
124321,2025-04-09 15:28:23.353,0.22811,21.66
124801,2025-04-09 15:28:23.358,0.82332,21.7
125281,2025-04-09 15:28:23.363,0.59252,21.75
125761,2025-04-09 15:28:23.368,-0.23671,21.79
126241,2025-04-09 15:28:23.373,-0.82718,21.84
126721,2025-04-09 15:28:23.378,-0.57554,21.88
127201,2025-04-09 15:28:23.383,0.26592,21.93
127681,2025-04-09 15:28:23.388,0.83506,21.97
128161,2025-04-09 15:28:23.393,0.54164,22.02
128641,2025-04-09 15:28:23.398,-0.31497,22.06
129121,2025-04-09 15:28:23.403,-0.8441,22.11
129601,2025-04-09 15:28:23.408,-0.48868,22.15
130081,2025-04-09 15:28:23.413,0.38228,22.2
130561,2025-04-09 15:28:23.418,0.84978,22.24
131041,2025-04-09 15:28:23.423,0.41396,22.29
131521,2025-04-09 15:28:23.428,-0.46496,22.33
132001,2025-04-09 15:28:23.433,-0.8459,22.38
132481,2025-04-09 15:28:23.438,-0.3148,22.42
132961,2025-04-09 15:28:23.443,0.55827,22.47
133441,2025-04-09 15:28:23.448,0.82471,22.51
133921,2025-04-09 15:28:23.453,0.18936,22.56
134401,2025-04-09 15:28:23.458,-0.655,22.6
134881,2025-04-09 15:28:23.463,-0.77743,22.65
135361,2025-04-09 15:28:23.468,-0.03781,22.69
135841,2025-04-09 15:28:23.473,0.74497,22.74
136321,2025-04-09 15:28:23.478,0.69506,22.78
136801,2025-04-09 15:28:23.483,-0.13637,22.83
137281,2025-04-09 15:28:23.488,-0.81492,22.87
137761,2025-04-09 15:28:23.493,-0.56991,22.92
138241,2025-04-09 15:28:23.498,0.32488,22.96
138721,2025-04-09 15:28:23.503,0.84899,23.01
139201,2025-04-09 15:28:23.508,0.39765,23.05
139681,2025-04-09 15:28:23.513,-0.51353,23.1
140161,2025-04-09 15:28:23.518,-0.8302,23.14
140641,2025-04-09 15:28:23.523,-0.17997,23.19
141121,2025-04-09 15:28:23.528,0.68172,23.23
141601,2025-04-09 15:28:23.533,0.74319,23.28
142081,2025-04-09 15:28:23.538,-0.07265,23.32
142561,2025-04-09 15:28:23.543,-0.80338,23.37
143041,2025-04-09 15:28:23.548,-0.57827,23.41
143521,2025-04-09 15:28:23.553,0.33878,23.46
144001,2025-04-09 15:28:23.558,0.85,23.5
144481,2025-04-09 15:28:23.563,0.33637,23.55
144961,2025-04-09 15:28:23.568,-0.58544,23.59
145441,2025-04-09 15:28:23.573,-0.79598,23.64
145921,2025-04-09 15:28:23.578,-0.03406,23.68
146401,2025-04-09 15:28:23.583,0.77057,23.73
146881,2025-04-09 15:28:23.588,0.62645,23.77
147361,2025-04-09 15:28:23.593,-0.29318,23.82
147841,2025-04-09 15:28:23.598,-0.84948,23.86
