Sample Number,Timestamp,Temperature (°C),Pressure (hPa),Humidity (%)
103,2025-04-09 16:44:25.686,25.012,956.55,35.28
107,2025-04-09 16:44:25.687,24.918,1002.92,35.28
108,2025-04-09 16:44:25.849,-127.28,526.77,35.48
104,2025-04-09 16:44:25.851,-116.234,948.28,35.48
105,2025-04-09 16:44:26.048,-127.28,526.53,35.5
109,2025-04-09 16:44:26.050,-116.234,948.21,35.5
110,2025-04-09 16:44:26.244,25.026,924.93,35.52
106,2025-04-09 16:44:26.286,24.995,1002.92,35.27
111,2025-04-09 16:44:26.447,-34.398,614.34,35.48
107,2025-04-09 16:44:26.448,-28.259,907.12,35.48
108,2025-04-09 16:44:26.668,24.968,1495.43,35.51
112,2025-04-09 16:44:26.673,24.968,1002.93,35.51
109,2025-04-09 16:44:26.845,24.951,1002.92,35.51
113,2025-04-09 16:44:26.921,24.975,1002.94,35.42
110,2025-04-09 16:44:27.050,-27.029,622.57,35.49
114,2025-04-09 16:44:27.053,-28.259,907.09,35.49
115,2025-04-09 16:44:27.208,24.985,1002.94,35.52
111,2025-04-09 16:44:27.322,25.028,1002.92,35.47
116,2025-04-09 16:44:27.481,25.038,1552.34,35.53
112,2025-04-09 16:44:27.483,24.999,1002.94,35.53
113,2025-04-09 16:44:27.648,24.966,859.04,35.47
117,2025-04-09 16:44:27.649,-31.942,1002.95,35.47
114,2025-04-09 16:44:27.802,-17.202,633.67,35.49
118,2025-04-09 16:44:27.804,-28.259,907.08,35.49
115,2025-04-09 16:44:28.048,-127.28,526.8,35.49
119,2025-04-09 16:44:28.049,-116.234,948.32,35.49
116,2025-04-09 16:44:28.249,-6.817,1002.96,35.49
120,2025-04-09 16:44:28.323,24.983,1002.96,35.35
117,2025-04-09 16:44:28.404,-17.202,633.67,35.38
121,2025-04-09 16:44:28.405,-28.259,907.06,35.38
122,2025-04-09 16:44:28.686,24.915,1002.95,35.26
118,2025-04-09 16:44:28.686,24.999,962.21,35.26
119,2025-04-09 16:44:28.887,24.951,959.2,35.27
123,2025-04-09 16:44:28.888,24.937,1002.98,35.27
120,2025-04-09 16:44:29.045,24.971,1552.09,35.45
124,2025-04-09 16:44:29.047,24.971,1002.98,35.45
125,2025-04-09 16:44:29.248,-50.976,596.15,35.48
121,2025-04-09 16:44:29.250,-28.259,907.19,35.48
122,2025-04-09 16:44:29.448,24.975,1002.99,35.47
126,2025-04-09 16:44:29.519,24.975,1002.97,35.31
123,2025-04-09 16:44:29.649,-127.28,526.44,35.47
127,2025-04-09 16:44:29.651,-116.234,948.22,35.47
124,2025-04-09 16:44:29.848,25.009,1002.94,35.46
128,2025-04-09 16:44:29.920,25.009,1002.94,35.36
125,2025-04-09 16:44:30.048,25.019,841.96,35.47
129,2025-04-09 16:44:30.052,-18.431,1002.97,35.47
130,2025-04-09 16:44:30.249,25.016,836.41,35.45
126,2025-04-09 16:44:30.251,-19.045,1002.95,35.45
127,2025-04-09 16:44:30.447,25.021,1002.94,35.47
131,2025-04-09 16:44:30.523,25.033,1002.92,35.33
132,2025-04-09 16:44:30.649,25.021,1002.98,35.43
128,2025-04-09 16:44:30.723,25.033,1002.96,35.34
133,2025-04-09 16:44:30.849,25.062,633.67,35.44
129,2025-04-09 16:44:30.850,25.062,907.03,35.44
130,2025-04-09 16:44:31.004,25.023,1002.92,35.44
134,2025-04-09 16:44:31.085,24.942,1002.97,35.36
135,2025-04-09 16:44:31.249,24.949,1495.33,35.43
131,2025-04-09 16:44:31.251,24.983,1002.94,35.43
136,2025-04-09 16:44:31.448,24.971,1552.15,35.42
132,2025-04-09 16:44:31.449,24.971,1002.95,35.42
133,2025-04-09 16:44:31.647,24.954,601.49,35.41
137,2025-04-09 16:44:31.649,24.954,907.16,35.41
134,2025-04-09 16:44:31.853,24.899,526.88,35.44
138,2025-04-09 16:44:31.854,-117.461,948.36,35.44
135,2025-04-09 16:44:32.046,24.985,1002.92,35.44
139,2025-04-09 16:44:32.092,24.975,1002.94,35.19
