Parameter,Value
Start Frequency,10
End Frequency,150
Frequency Duration,1
Smooth Transition,False
Pause Duration,0.5
Amplitude,0.2
Frequency Step,5
Total Duration,10
Gradual Amplitude Increase,False
Amplitude Rise Time,0.5
Amplitude Start,0.05
Amplitude End,0.5
Sample Rate,96000

Sample Number,Timestamp,Sine value,Frequency (Hz)
130081,2025-04-08 22:18:12.874,0.1782,15
130561,2025-04-08 22:18:12.879,0.11756,15
131041,2025-04-08 22:18:12.884,0.03129,15
131521,2025-04-08 22:18:12.889,-0.0618,15
132001,2025-04-08 22:18:12.894,-0.14142,15
132481,2025-04-08 22:18:12.899,-0.19021,15
132961,2025-04-08 22:18:12.904,-0.19754,15
133441,2025-04-08 22:18:12.909,-0.1618,15
133921,2025-04-08 22:18:12.914,-0.0908,15
134401,2025-04-08 22:18:12.919,-0.0,15
134881,2025-04-08 22:18:12.924,0.0908,15
135361,2025-04-08 22:18:12.929,0.1618,15
135841,2025-04-08 22:18:12.934,0.19754,15
136321,2025-04-08 22:18:12.939,0.19021,15
136801,2025-04-08 22:18:12.944,0.14142,15
137281,2025-04-08 22:18:12.949,0.0618,15
137761,2025-04-08 22:18:12.954,-0.03129,15
138241,2025-04-08 22:18:12.959,-0.11756,15
138721,2025-04-08 22:18:12.964,-0.1782,15
139201,2025-04-08 22:18:12.969,-0.2,15
139681,2025-04-08 22:18:12.974,-0.1782,15
140161,2025-04-08 22:18:12.979,-0.11756,15
140641,2025-04-08 22:18:12.984,-0.03129,15
141121,2025-04-08 22:18:12.989,0.0618,15
141601,2025-04-08 22:18:12.994,0.14142,15
142081,2025-04-08 22:18:12.999,0.19021,15
142561,2025-04-08 22:18:13.004,0.19754,15
143041,2025-04-08 22:18:13.009,0.1618,15
143521,2025-04-08 22:18:13.014,0.0908,15
144001,2025-04-08 22:18:13.019,0.0,15
144481,2025-04-08 22:18:13.024,-0.0908,15
144961,2025-04-08 22:18:13.029,-0.1618,15
145441,2025-04-08 22:18:13.034,-0.19754,15
145921,2025-04-08 22:18:13.039,-0.19021,15
146401,2025-04-08 22:18:13.044,-0.14142,15
146881,2025-04-08 22:18:13.049,-0.0618,15
147361,2025-04-08 22:18:13.054,0.03129,15
147841,2025-04-08 22:18:13.059,0.11756,15
148321,2025-04-08 22:18:13.064,0.1782,15
